Wavelength (nm),1_Co3O4_b2_d2_c3_s8 - quartz
1363,0.13153
1364,0.13119
1365,0.13159
1366,0.1327
1367,0.13277
1368,0.1324
1369,0.13244
1370,0.13363
1371,0.13339
1372,0.13336
1373,0.13318
1374,0.13317
1375,0.13324
1376,0.13289
1377,0.13268
1378,0.13247
1379,0.13296
1380,0.13339
1381,0.13242
1382,0.13188
1383,0.13245
1384,0.1327
1385,0.13276
1386,0.13288
1387,0.133
1388,0.13327
1389,0.13299
1390,0.13277
1391,0.13275
1392,0.13331
1393,0.13335
1394,0.13309
1395,0.13279
1396,0.13287
1397,0.13337
1398,0.13412
1399,0.13441
1400,0.13468
